2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,AAPL,AAPL,AAPL,AAPL,AAPL
XOM,XOM,MSFT,MSFT,MSFT,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT
GOOGL,MSFT,XOM,XOM,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN
MSFT,JNJ,GE,JNJ,FB,BRKB,FB,FB,GOOGL,BRKB,NVDA
GEC,BRKB,JNJ,BRKB,BRKB,JNJ,BRKB,TSLA,TSLA,GOOGL,GOOGL
JNJ,WFC,AMZN,JPM,JNJ,JPM,JPM,GOOGL,GOOG,UNH,META
CVX,GE,WFC,AMZN,JPM,GOOG,GOOGL,GOOG,FB,GOOG,GOOG
PG,PG,BRKB,GE,XOM,FB,GOOG,BRKB,NVDA,JNJ,TSLA
JPM,JPM,JPM,FB,GOOG,GOOGL,JNJ,JNJ,BRKB,XOM,BRKB
WFC,CVX,FB,T,GOOGL,XOM,V,JPM,UNH,JPM,AVGO
BRKB,PFE,GOOGL,WFC,BAC,PFE,PG,V,JPM,NVDA,JPM
PFE,VZ,GOOG,GOOGL,WFC,UNH,XOM,PG,JNJ,PG,UNH
IBM,BAC,PG,GOOG,T,VZ,T,UNH,HD,V,LLY
T,INTC,T,PG,CVX,V,BAC,DIS,PG,HD,V
BAC,T,PFE,BAC,PG,PG,UNH,NVDA,V,TSLA,XOM
C,KO,VZ,CVX,HD,BAC,MA,MA,PFE,CVX,JNJ
KO,C,BAC,VZ,INTC,INTC,DIS,HD,BAC,MA,MA
AMZN,FB,CVX,PFE,VZ,CVX,INTC,PYPL,MA,LLY,HD
MRK,MRK,KO,INTC,PFE,T,VZ,VZ,DIS,PFE,PG
VZ,GOOGL,HD,C,UNH,MRK,HD,ADBE,AVGO,ABBV,COST
PM,GOOG,INTC,CMCSA,V,WFC,MRK,CMCSA,ADBE,MRK,MRK
CMCSA,CMCSA,DIS,HD,C,CSCO,CVX,NFLX,CSCO,META,ABBV
ORCL,IBM,C,MRK,CSCO,HD,PFE,BAC,NFLX,PEP,ADBE
INCO,DIS,V,KO,CMCSA,KO,KO,KO,TMO,KO,CVX
WMT,ORCL,MRK,DIS,KO,MA,WFC,MRK,ACN,BAC,CRM
PEP,CSCO,GILD,UNH,PEP,BA,CMCSA,PEP,XOM,AVGO,AMD
QCI,GILD,PEP,CSCO,DWDP,DIS,CSCO,T,COST,TMO,BAC
DIS,PEP,CMCSA,PEP,BA,PEP,PEP,PFE,ABT,COST,PEP
CSCO,HD,CSCO,V,PM,CMCSA,C,INTC,CRM,WMT,KO
SLBA,WMT,PM,IBM,DIS,ABBV,BA,CRM,PEP,CSCO,WMT
HD,V,AGN,PM,ABBV,MCD,WMT,WMT,ABBV,MCD,ACN
GILD,PM,IBM,MO,MRK,WMT,ADBE,ABT,KO,ABT,NFLX
VISA,QCOM,AMGN,SLB,GE,C,ABT,ABBV,CMCSA,DHR,MCD
MCD,AMGN,ORCL,ORCL,WMT,ABT,MDT,CSCO,CVX,ACN,INTC
UTX,AMZN,BMY,AMGN,ORCL,AMGN,BMY,TMO,PYPL,NEE,TMO
BA,CVS,MO,MMM,MA,DWDP,MCD,NKE,LLY,VZ,CSCO
FB,SLB,UNH,WMT,MMM,MDT,CRM,AVGO,VZ,LIN,LIN
MMM,UNP,MCD,ABBV,MCD,NFLX,NVDA,XOM,NKE,DIS,ABT
BMY,MMM,CVS,MCD,MO,ORCL,AMGN,QCOM,INTC,WFC,WFC
COP,ABBV,MDT,MA,IBM,MMM,NFLX,COST,DHR,ADBE,CMCSA
MA,BMY,ABBV,MDT,AMGN,ADBE,ACN,ACN,WMT,PM,INTU
AMGN,UTX,MA,BMY,NVDA,LLY,PM,CVX,QCOM,BMY,ORCL
CVS,MO,WMT,QCOM,HON,AVGO,ABBV,MCD,MCD,CMCSA,DIS
ABBV,UNH,CELG,GILD,MDT,CRM,TMO,MDT,MRK,TXN,PFE
AEC1,MCD,MMM,CELG,UNP,PM,COST,NEE,WFC,NKE,QCOM
UNP,CELG,BA,BA,AVGO,IBM,PYPL,TXN,NEE,RTX,VZ
MO,BA,SBUX,GS,TXN,UNP,HON,HON,INTU,COP,TXN
