20130131,20130228,20130328,20130430,20130531,20130628,20130731,20130830,20130930,20131031,20131129,20131231,20140131,20140228,20140331,20140430,20140530,20140630,20140731,20140829,20140930,20141031,20141128,20141231,20150130,20150227,20150331,20150430,20150529,20150630,20150731,20150831,20150930,20151030,20151130,20151231,20160129,20160229,20160331,20160429,20160531,20160630,20160729,20160831,20160930,20161031,20161130,20161230,20170731,20170831,20170929,20171031,20171130,20171229,20180131,20180228,20180329,20180430,20180531,20180629,20180731,20180831,20180928,20181031,20181130,20181231,20190131,20190228,20190329,20190430,20190531,20190628,20190731,20190830,20190930,20191031,20191129,20191231,20200131,20200228,20200331,20200430,20200529,20200630,20200731,20200831,20200930,20201030,20201130,20201231,20210129,20210226,20210331,20210430,20210531,20210630,20210730,20210831,20210930,20211029,20211130,20211231,20220131,20220228,20220331,20220429,20220531,20220630,20220729,20220831,20220930,20221031,20221130,20221230,20230131,20230228,20230331,20230428,20230531,20230630,20230731,20230831,20230929,20231031,20231130,20231229
AAPL,AAPL,AAPL,AAPL,AAPL,XOM,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,WFC,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,AAPL
XOM,XOM,XOM,XOM,XOM,AAPL,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,AAPL,XOM,XOM,XOM,MSFT,XOM,XOM,XOM,XOM,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,AAPL,AAPL,MSFT
GEC,GEC,IBM,MSFT,MSFT,MSFT,JNJ,MSFT,MSFT,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,MSFT,CVX,MSFT,JPM,MSFT,MSFT,MSFT,XOM,MSFT,MSFT,MSFT,MSFT,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,XOM,FB,FB,FB,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,NVDA,AMZN,AMZN,AMZN,AMZN
CVX,GOOGL,GEC,JNJ,GEC,JNJ,GEC,JNJ,GOOGL,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,JNJ,MSFT,JNJ,XOM,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,GE,GE,GE,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,AMZN,JNJ,JNJ,JNJ,AMZN,AMZN,AMZN,FB,FB,FB,FB,FB,BRKB,FB,FB,FB,FB,FB,BRKB,BRKB,BRKB,BRKB,FB,BRKB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,FB,TSLA,TSLA,GOOGL,GOOGL,GOOGL,TSLA,TSLA,GOOGL,GOOGL,TSLA,TSLA,TSLA,TSLA,GOOGL,BRKB,GOOGL,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA,AMZN,NVDA,NVDA,NVDA,NVDA
IBM,CVX,PG,CVX,CVX,GEC,CVX,GEC,JNJ,GEC,GEC,GEC,GEC,JNJ,JNJ,GE,BRKB,GE,KO,GE,GE,GE,BRKB,BRKB,BRKB,BRKB,BRKB,GE,GE,GE,WFC,GE,GE,JNJ,JNJ,JNJ,GE,GE,GE,GE,GE,GE,AMZN,AMZN,JNJ,AMZN,BRKB,BRKB,JNJ,JNJ,BRKB,JNJ,JNJ,BRKB,BRKB,JPM,FB,JPM,BRKB,BRKB,JPM,BRKB,FB,JNJ,JNJ,JNJ,BRKB,FB,BRKB,BRKB,BRKB,BRKB,BRKB,BRKB,BRKB,BRKB,BRKB,BRKB,BRKB,BRKB,BRKB,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,TSLA,TSLA,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,TSLA,TSLA,GOOG,GOOGL,GOOGL,TSLA,GOOG,GOOGL,GOOGL,GOOGL,GOOGL,BRKB,GOOGL,BRKB,TSLA,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
MSFT,T,CVX,GEC,JNJ,GOOGL,MSFT,CVX,GEC,JNJ,JNJ,JNJ,JNJ,GEC,GE,CVX,JNJ,WFC,MSFT,BRKB,BRKB,BRKB,GE,WFC,WFC,GE,WFC,WFC,WFC,WFC,GE,WFC,BRKB,BRKB,WFC,AMZN,FB,BRKB,BRKB,BRKB,AMZN,AMZN,FB,FB,FB,FB,AMZN,JPM,XOM,BRKB,JNJ,BRKB,BRKB,JNJ,JPM,BRKB,JPM,BRKB,JPM,JPM,BRKB,JPM,JPM,JPM,JPM,JPM,JNJ,JNJ,JNJ,JPM,JNJ,JNJ,JPM,GOOG,JPM,JPM,JPM,JPM,GOOGL,GOOGL,GOOGL,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOGL,GOOGL,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,NVDA,GOOG,GOOG,TSLA,GOOG,GOOG,GOOG,TSLA,GOOG,GOOG,GOOG,BRKB,GOOG,UNH,GOOG,BRKB,BRKB,BRKB,GOOG,TSLA,META,GOOG,TSLA,META,META,META
PG,IBM,PFE,GOOGL,GOOGL,CVX,GOOGL,GOOGL,CVX,CVX,CVX,CVX,WFC,WFC,WFC,WFC,JPM,CVX,WMT,WFC,WFC,WFC,WFC,GE,GE,WFC,GE,BRKB,BRKB,JPM,BRKB,BRKB,WFC,WFC,AMZN,WFC,BRKB,FB,FB,FB,FB,BRKB,GE,GE,BRKB,BRKB,JPM,AMZN,BRKB,XOM,XOM,JPM,JPM,JPM,JNJ,JNJ,JNJ,JNJ,XOM,XOM,GOOG,GOOG,JNJ,FB,FB,GOOG,JPM,JPM,GOOG,JNJ,JPM,JPM,GOOG,GOOGL,GOOG,GOOG,GOOG,GOOGL,GOOG,GOOG,GOOG,JNJ,JNJ,JNJ,JNJ,BRKB,BRKB,BRKB,BRKB,GOOG,GOOG,TSLA,TSLA,TSLA,BRKB,BRKB,TSLA,TSLA,TSLA,FB,GOOG,FB,FB,NVDA,NVDA,BRKB,BRKB,BRKB,BRKB,BRKB,BRKB,UNH,UNH,GOOG,NVDA,GOOGL,GOOG,GOOG,META,META,TSLA,TSLA,META,GOOG,GOOG,GOOG
JNJ,PFE,JNJ,IBM,IBM,PG,PG,PG,PG,PG,PG,PG,CVX,CVX,JPM,BRKB,GE,BRKB,JNJ,CVX,PG,PG,PG,PG,PG,PG,JPM,JPM,JPM,BRKB,JPM,JPM,JPM,AMZN,BRKB,BRKB,WFC,T,T,AMZN,BRKB,T,BRKB,BRKB,GE,GE,GE,GE,JPM,JPM,JPM,XOM,XOM,XOM,XOM,GOOG,XOM,XOM,GOOG,GOOG,GOOGL,GOOGL,GOOG,XOM,GOOG,FB,GOOG,GOOG,GOOGL,GOOG,GOOG,GOOG,GOOGL,JPM,GOOGL,GOOGL,GOOGL,GOOG,JPM,JPM,JNJ,BRKB,BRKB,BRKB,BRKB,JNJ,JNJ,JNJ,JNJ,BRKB,BRKB,BRKB,BRKB,BRKB,JPM,TSLA,BRKB,NVDA,NVDA,NVDA,FB,NVDA,NVDA,BRKB,BRKB,UNH,JNJ,UNH,UNH,UNH,UNH,GOOG,TSLA,JNJ,XOM,GOOG,TSLA,META,BRKB,GOOG,GOOG,META,GOOG,BRKB,TSLA,TSLA
GOOGL,BRKB,T,PG,PG,BRKB,WFC,BRKB,BRKB,BRKB,JPM,JPM,PG,PG,CVX,PG,VZ,JPM,COP,JPM,CVX,CVX,JPM,JPM,JPM,JPM,PG,PG,PFE,PG,PFE,T,FB,JPM,JPM,JPM,AMZN,PG,AMZN,T,T,FB,T,T,T,JPM,FB,FB,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOG,GOOG,GOOGL,GOOG,GOOG,GOOGL,GOOGL,JNJ,JNJ,GOOGL,GOOG,XOM,GOOGL,GOOGL,GOOGL,XOM,GOOGL,GOOGL,GOOGL,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JPM,V,V,V,PG,V,PG,PG,JPM,JNJ,JNJ,JPM,JPM,JPM,TSLA,NVDA,NVDA,BRKB,BRKB,BRKB,BRKB,BRKB,BRKB,FB,FB,JNJ,UNH,JNJ,JNJ,JNJ,JNJ,XOM,JNJ,XOM,UNH,XOM,META,XOM,TSLA,BRKB,BRKB,BRKB,BRKB,TSLA,BRKB,BRKB
PFE,JNJ,JPM,PFE,JPM,WFC,BRKB,WFC,WFC,WFC,WFC,WFC,JPM,JPM,BRKB,JPM,WFC,PG,GE,PG,JPM,JPM,VZ,CVX,PFE,PFE,PFE,VZ,PG,PFE,T,PFE,T,FB,FB,FB,PG,WFC,WFC,JPM,JPM,VZ,JPM,JPM,JPM,GOOGL,WFC,T,GOOG,GOOG,GOOG,GOOG,GOOG,GOOGL,GOOGL,XOM,GOOGL,GOOGL,JNJ,JNJ,XOM,XOM,XOM,GOOGL,GOOGL,XOM,XOM,XOM,JPM,XOM,XOM,XOM,XOM,V,PG,PG,V,V,V,V,V,JPM,JPM,PG,V,PG,V,NVDA,V,JPM,JPM,JNJ,JNJ,JNJ,JNJ,JPM,JPM,JPM,JPM,JPM,JPM,UNH,JNJ,UNH,UNH,NVDA,NVDA,NVDA,NVDA,XOM,XOM,JNJ,XOM,JPM,TSLA,UNH,XOM,UNH,UNH,UNH,UNH,UNH,XOM,UNH,UNH,AVGO
